"avatar","id","images/0","images/1","images/2","images/3","text","likes","replies","retweets","quotes","timestamp","searchQuery","url"
"https://pbs.twimg.com/profile_images/1963096695644041216/QW3uxHKq.jpg","1965243103788548533","https://pbs.twimg.com/media/G0XyLoVbgAErGI2.jpg",,,,"Menteri Pendidikan Dasar dan Menengah, Abdul Mu'ti, menanggapi temuan Institute for Development of Economics and Finance (Indef) yang menunjukkan sekitar 4.000 siswa yang dilaporkan menjadi korban keracunan Makan Bergizi Gratis (MBG) dalam delapan bulan terakhir. 

""Bahwa ada berbagai peristiwa, sebagian anak-anak keracunan, mudah-mudahan bisa menjadi bahan evaluasi,"" ujar Mu'ti pada Jumat (5/9/2025). 

Menurut Mu'ti, MBG akan tetap berjalan sesuai arahan Presiden Prabowo dan bakal disempurnakan juga ditingkatkan secara bertahap.","126","4","54","14","2025-09-09T02:37:00.000Z","makan bergizi gratis","https://x.com/catchmeupco/status/1965243103788548533"
"https://pbs.twimg.com/profile_images/1795647357750857729/Tsj3fB5C.jpg","1965284668292698149",,,,,"Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALA,S.H.,M.H. monitoring makan bergizi gratis (MBG) di SMPN 1 Tanah Putih Tanjung Melawan bersama camat, korwil,  penghulu dan kepsek

#salampresisi #polisiindonesia #MBG #fyp #jangkauanluas #semuaorang #sorotan #pengikut","0","0","0","0","2025-09-09T05:22:00.000Z","makan bergizi gratis","https://x.com/PolsekTj/status/1965284668292698149"
"https://pbs.twimg.com/profile_images/1795647357750857729/Tsj3fB5C.jpg","1965284494220665260","https://pbs.twimg.com/media/G0YX1EzakAAWIl5.jpg",,,,"Kapolsek TPTM dan Forkopimcam Pantau Distribusi Makan Bergizi Gratis di SMPN 1

riauaktual.com/news/detail/1…

#salampresisi #polisiindonesia #MBG #fyp  #jangkauanluas #semuaorang #sorotan #pengikut","0","0","0","0","2025-09-09T05:21:00.000Z","makan bergizi gratis","https://x.com/PolsekTj/status/1965284494220665260"
"https://pbs.twimg.com/profile_images/1795647357750857729/Tsj3fB5C.jpg","1965284228461154607","https://pbs.twimg.com/media/G0YXlbDbIAA8cMM.jpg",,,,"Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALA,S.H.,M.H. monitoring makan bergizi gratis (MBG) di SMPN 1 Tanah Putih Tanjung Melawan bersama camat, korwil,  penghulu dan kepsek

#salampresisi #polisiindonesia #MBG #fyp  #jangkauanluas #semuaorang #sorotan #pengikut","0","0","0","0","2025-09-09T05:20:00.000Z","makan bergizi gratis","https://x.com/PolsekTj/status/1965284228461154607"
"https://pbs.twimg.com/profile_images/1562191085983924225/8vc32vWe.jpg","1965283610992492554","https://pbs.twimg.com/media/G0YW7E-bgAEHrmv.jpg",,,,"Prabowo-Gibran peduli rakyat dengan program makan bergizi gratis untuk semua #MakanBergiziGratis","0","0","0","0","2025-09-09T05:18:00.000Z","makan bergizi gratis","https://x.com/Jennife83085830/status/1965283610992492554"
"https://pbs.twimg.com/profile_images/1562191085983924225/8vc32vWe.jpg","1965283607393829308","https://pbs.twimg.com/media/G0YW8pRa0AER339.jpg",,,,"Makan bergizi gratis, komitmen Prabowo-Gibran ciptakan masa depan sehat #MakanBergiziGratis","0","1","0","0","2025-09-09T05:18:00.000Z","makan bergizi gratis","https://x.com/Jennife83085830/status/1965283607393829308"
"https://pbs.twimg.com/profile_images/1562191085983924225/8vc32vWe.jpg","1965283603933446382","https://pbs.twimg.com/media/G0YW9J1bsAAKV2X.jpg",,,,"Prabowo-Gibran wujudkan bangsa kuat lewat program makan bergizi gratis #MakanBergiziGratis","0","1","0","0","2025-09-09T05:18:00.000Z","makan bergizi gratis","https://x.com/Jennife83085830/status/1965283603933446382"
"https://pbs.twimg.com/profile_images/1562191085983924225/8vc32vWe.jpg","1965283600380862975","https://pbs.twimg.com/media/G0YW9mkbgAAgf-N.jpg",,,,"Makan bergizi gratis Prabowo-Gibran, harapan baru anak Indonesia cerah #MakanBergiziGratis","0","1","0","0","2025-09-09T05:18:00.000Z","makan bergizi gratis","https://x.com/Jennife83085830/status/1965283600380862975"
"https://pbs.twimg.com/profile_images/1562191085983924225/8vc32vWe.jpg","1965283596404699250","https://pbs.twimg.com/media/G0YW92la4AAHLj2.jpg",,,,"Program makan bergizi gratis, bukti nyata perhatian Prabowo-Gibran pada rakyat #MakanBergiziGratis","0","1","0","0","2025-09-09T05:18:00.000Z","makan bergizi gratis","https://x.com/Jennife83085830/status/1965283596404699250"
"https://pbs.twimg.com/profile_images/1562191085983924225/8vc32vWe.jpg","1965283592726348073","https://pbs.twimg.com/media/G0YW-MebgAQwANr.jpg",,,,"Generasi emas 2045 dimulai dari makan bergizi gratis Prabowo-Gibran #MakanBergiziGratis","0","1","0","0","2025-09-09T05:18:00.000Z","makan bergizi gratis","https://x.com/Jennife83085830/status/1965283592726348073"
